timestamp,tag_id,x,y,z,quality
1771539414.7617736,0,4.986,0.262,0.181,37
1771539414.7617736,1,5.007,0.448,0.444,48
1771539414.815836,0,4.956,0.256,0.207,42
1771539414.815836,1,5.007,0.448,0.444,48
1771539414.8675094,0,4.956,0.256,0.207,42
1771539414.8675094,1,5.001,0.45,0.46,47
1771539414.9195914,0,4.956,0.256,0.207,42
1771539414.9195914,1,4.998,0.447,0.476,48
1771539414.977665,0,4.916,0.257,0.247,44
1771539414.977665,1,4.998,0.447,0.476,48
1771539415.0087829,0,4.916,0.257,0.247,44
1771539415.0087829,1,4.993,0.428,0.475,46
1771539415.084864,0,4.916,0.257,0.247,44
1771539415.084864,1,4.993,0.428,0.475,46
1771539415.1244144,0,4.908,0.261,0.276,44
1771539415.1244144,1,4.983,0.412,0.472,47
1771539415.1492054,0,4.908,0.261,0.276,44
1771539415.1492054,1,4.983,0.412,0.472,47
1771539415.213431,0,4.872,0.267,0.268,41
1771539415.213431,1,4.983,0.412,0.472,47
1771539415.2455297,0,4.872,0.267,0.268,41
1771539415.2455297,1,4.974,0.413,0.461,45
1771539415.319318,0,4.857,0.264,0.263,41
1771539415.319318,1,4.957,0.443,0.451,44
1771539415.3542628,0,4.857,0.264,0.263,41
1771539415.3542628,1,4.957,0.443,0.451,44
1771539415.3903897,0,4.857,0.264,0.263,41
1771539415.3903897,1,4.957,0.443,0.451,44
1771539415.4637783,0,4.822,0.266,0.274,45
1771539415.4637783,1,4.953,0.44,0.449,45
1771539415.4916897,0,4.822,0.266,0.274,45
1771539415.4916897,1,4.953,0.44,0.449,45
1771539415.5591216,0,4.822,0.266,0.274,45
1771539415.5591216,1,4.938,0.464,0.456,46
1771539415.6038492,0,4.769,0.282,0.262,42
1771539415.6038492,1,4.938,0.464,0.456,46
1771539415.630408,0,4.769,0.282,0.262,42
1771539415.630408,1,4.926,0.466,0.426,42
1771539415.6449196,0,4.769,0.282,0.262,42
1771539415.6449196,1,4.926,0.466,0.426,42
1771539415.6660962,0,4.726,0.297,0.254,43
1771539415.6660962,1,4.909,0.48,0.424,45
1771539415.6870394,0,4.726,0.297,0.254,43
1771539415.6870394,1,4.909,0.48,0.424,45
1771539415.718478,0,4.726,0.297,0.254,43
1771539415.718478,1,4.909,0.48,0.424,45
1771539415.7556806,0,4.726,0.297,0.254,43
1771539415.7556806,1,4.909,0.48,0.424,45
1771539415.8058975,0,4.681,0.331,0.176,32
1771539415.8058975,1,4.909,0.48,0.424,45
1771539415.8507955,0,4.681,0.331,0.176,32
1771539415.8507955,1,4.881,0.497,0.404,43
1771539415.9035459,0,4.644,0.365,0.133,34
