timestamp,port,name,id,x,y,z,range
1762221546.9016595,/dev/ttyACM1,,,,,,
1762221547.1426535,/dev/ttyACM0,,,,,,
1762221547.1426535,/dev/ttyACM1,,,,,,
1762221547.3910158,/dev/ttyACM0,,,,,,
1762221547.3910158,/dev/ttyACM1,,,,,,
1762221547.6585827,/dev/ttyACM0,,,,,,
1762221547.6585827,/dev/ttyACM1,,,,,,
1762221547.930313,/dev/ttyACM0,,,,,,
1762221547.930313,/dev/ttyACM1,,,,,,
1762221548.1700935,/dev/ttyACM0,,,,,,
1762221548.1700935,/dev/ttyACM1,,,,,,
1762221548.421959,/dev/ttyACM0,,,,,,
1762221548.421959,/dev/ttyACM1,,,,,,
1762221548.674986,/dev/ttyACM0,,,,,,
1762221548.674986,/dev/ttyACM1,,,,,,
1762221548.9243743,/dev/ttyACM0,,,,,,
1762221548.9243743,/dev/ttyACM1,,,,,,
1762221549.1374352,/dev/ttyACM0,,,,,,
1762221549.1374352,/dev/ttyACM1,,,,,,
1762221549.353753,/dev/ttyACM0,,,,,,
1762221549.353753,/dev/ttyACM1,,,,,,
1762221549.573874,/dev/ttyACM0,,,,,,
1762221549.573874,/dev/ttyACM1,,,,,,
1762221549.8276212,/dev/ttyACM0,,,,,,
1762221549.8276212,/dev/ttyACM1,,,,,,
1762221550.0833764,/dev/ttyACM0,,,,,,
1762221550.0833764,/dev/ttyACM1,,,,,,
1762221550.29917,/dev/ttyACM0,,,,,,
1762221550.29917,/dev/ttyACM1,,,,,,
1762221550.5203707,/dev/ttyACM0,,,,,,
1762221550.5203707,/dev/ttyACM1,,,,,,
1762221550.7970583,/dev/ttyACM0,,,,,,
1762221550.7970583,/dev/ttyACM1,,,,,,
1762221551.0182374,/dev/ttyACM0,,,,,,
1762221551.0182374,/dev/ttyACM1,,,,,,
1762221551.2668486,/dev/ttyACM0,,,,,,
1762221551.2668486,/dev/ttyACM1,,,,,,
1762221551.4868767,/dev/ttyACM0,,,,,,
1762221551.4868767,/dev/ttyACM1,,,,,,
1762221551.7110913,/dev/ttyACM0,,,,,,
1762221551.7110913,/dev/ttyACM1,,,,,,
1762221551.962834,/dev/ttyACM0,,,,,,
1762221551.962834,/dev/ttyACM1,,,,,,
1762221552.183106,/dev/ttyACM0,,,,,,
1762221552.183106,/dev/ttyACM1,,,,,,
1762221552.4244468,/dev/ttyACM0,,,,,,
1762221552.4244468,/dev/ttyACM1,,,,,,
1762221552.637753,/dev/ttyACM0,,,,,,
1762221552.637753,/dev/ttyACM1,,,,,,
1762221552.8609283,/dev/ttyACM0,,,,,,
1762221552.8609283,/dev/ttyACM1,,,,,,
1762221553.1144233,/dev/ttyACM0,,,,,,
1762221553.1144233,/dev/ttyACM1,,,,,,
1762221553.3692675,/dev/ttyACM0,,,,,,
1762221553.3692675,/dev/ttyACM1,,,,,,
1762221553.5892134,/dev/ttyACM0,,,,,,
1762221553.5892134,/dev/ttyACM1,,,,,,
1762221553.8074026,/dev/ttyACM0,,,,,,
1762221553.8074026,/dev/ttyACM1,,,,,,
1762221554.023335,/dev/ttyACM0,,,,,,
1762221554.023335,/dev/ttyACM1,,,,,,
1762221554.2763846,/dev/ttyACM0,,,,,,
1762221554.2763846,/dev/ttyACM1,,,,,,
1762221554.537087,/dev/ttyACM0,,,,,,
1762221554.537087,/dev/ttyACM1,,,,,,
1762221554.7580917,/dev/ttyACM0,,,,,,
1762221554.7580917,/dev/ttyACM1,,,,,,
1762221554.9744263,/dev/ttyACM0,,,,,,
1762221554.9744263,/dev/ttyACM1,,,,,,
1762221555.2264795,/dev/ttyACM0,,,,,,
1762221555.2264795,/dev/ttyACM1,,,,,,
1762221555.4557955,/dev/ttyACM0,,,,,,
1762221555.4557955,/dev/ttyACM1,,,,,,
1762221555.7368214,/dev/ttyACM0,,,,,,
1762221555.7368214,/dev/ttyACM1,,,,,,
1762221555.9571733,/dev/ttyACM0,,,,,,
1762221555.9571733,/dev/ttyACM1,,,,,,
1762221556.1727605,/dev/ttyACM0,,,,,,
1762221556.1727605,/dev/ttyACM1,,,,,,
1762221556.4334445,/dev/ttyACM0,,,,,,
1762221556.4334445,/dev/ttyACM1,,,,,,
1762221556.6992679,/dev/ttyACM0,,,,,,
1762221556.6992679,/dev/ttyACM1,,,,,,
1762221556.9259667,/dev/ttyACM0,,,,,,
1762221556.9259667,/dev/ttyACM1,,,,,,
1762221557.1530976,/dev/ttyACM0,,,,,,
1762221557.1530976,/dev/ttyACM1,,,,,,
1762221557.4252887,/dev/ttyACM0,,,,,,
1762221557.4252887,/dev/ttyACM1,,,,,,
1762221557.6731856,/dev/ttyACM0,,,,,,
1762221557.6731856,/dev/ttyACM1,,,,,,
1762221557.9426072,/dev/ttyACM0,,,,,,
1762221557.9426072,/dev/ttyACM1,,,,,,
1762221558.1651433,/dev/ttyACM0,,,,,,
1762221558.1651433,/dev/ttyACM1,,,,,,
1762221558.4186502,/dev/ttyACM0,,,,,,
1762221558.4186502,/dev/ttyACM1,,,,,,
1762221558.679899,/dev/ttyACM0,,,,,,
1762221558.679899,/dev/ttyACM1,,,,,,
1762221558.94194,/dev/ttyACM0,,,,,,
1762221558.94194,/dev/ttyACM1,,,,,,
1762221559.170477,/dev/ttyACM0,,,,,,
1762221559.170477,/dev/ttyACM1,,,,,,
1762221559.401413,/dev/ttyACM0,,,,,,
1762221559.401413,/dev/ttyACM1,,,,,,
1762221559.6663966,/dev/ttyACM0,,,,,,
1762221559.6663966,/dev/ttyACM1,,,,,,
1762221559.9219792,/dev/ttyACM0,,,,,,
1762221559.9219792,/dev/ttyACM1,,,,,,
1762221560.2006912,/dev/ttyACM0,,,,,,
1762221560.2006912,/dev/ttyACM1,,,,,,
1762221560.4567962,/dev/ttyACM0,,,,,,
1762221560.4567962,/dev/ttyACM1,,,,,,
1762221560.7670949,/dev/ttyACM0,,,,,,
1762221560.7670949,/dev/ttyACM1,,,,,,
1762221561.0128713,/dev/ttyACM0,,,,,,
1762221561.0128713,/dev/ttyACM1,,,,,,
1762221561.2809186,/dev/ttyACM0,,,,,,
1762221561.2809186,/dev/ttyACM1,,,,,,
1762221561.52163,/dev/ttyACM0,,,,,,
1762221561.52163,/dev/ttyACM1,,,,,,
1762221561.769901,/dev/ttyACM0,,,,,,
1762221561.769901,/dev/ttyACM1,,,,,,
1762221562.0442355,/dev/ttyACM0,,,,,,
1762221562.0442355,/dev/ttyACM1,,,,,,
1762221562.33207,/dev/ttyACM0,,,,,,
1762221562.33207,/dev/ttyACM1,,,,,,
1762221562.581554,/dev/ttyACM0,,,,,,
1762221562.581554,/dev/ttyACM1,,,,,,
1762221562.835226,/dev/ttyACM0,,,,,,
1762221562.835226,/dev/ttyACM1,,,,,,
1762221563.113345,/dev/ttyACM0,,,,,,
1762221563.113345,/dev/ttyACM1,,,,,,
1762221563.3639805,/dev/ttyACM0,,,,,,
1762221563.3639805,/dev/ttyACM1,,,,,,
1762221563.5779846,/dev/ttyACM0,,,,,,
1762221563.5779846,/dev/ttyACM1,,,,,,
1762221563.7869577,/dev/ttyACM0,,,,,,
1762221563.7869577,/dev/ttyACM1,,,,,,
1762221564.0015974,/dev/ttyACM0,,,,,,
1762221564.0015974,/dev/ttyACM1,,,,,,
1762221564.2487323,/dev/ttyACM0,,,,,,
1762221564.2487323,/dev/ttyACM1,,,,,,
1762221564.5103245,/dev/ttyACM0,,,,,,
1762221564.5103245,/dev/ttyACM1,,,,,,
1762221564.7369196,/dev/ttyACM0,,,,,,
1762221564.7369196,/dev/ttyACM1,,,,,,
1762221564.9671972,/dev/ttyACM0,,,,,,
1762221564.9671972,/dev/ttyACM1,,,,,,
1762221565.2520723,/dev/ttyACM0,,,,,,
1762221565.2520723,/dev/ttyACM1,,,,,,
1762221565.4914725,/dev/ttyACM0,,,,,,
1762221565.4914725,/dev/ttyACM1,,,,,,
1762221565.7863433,/dev/ttyACM0,,,,,,
1762221565.7863433,/dev/ttyACM1,,,,,,
1762221566.0197256,/dev/ttyACM0,,,,,,
1762221566.0197256,/dev/ttyACM1,,,,,,
1762221566.2931414,/dev/ttyACM0,,,,,,
1762221566.2931414,/dev/ttyACM1,,,,,,
1762221566.5259464,/dev/ttyACM0,,,,,,
1762221566.5259464,/dev/ttyACM1,,,,,,
1762221566.8032238,/dev/ttyACM0,,,,,,
1762221566.8032238,/dev/ttyACM1,,,,,,
1762221567.0319185,/dev/ttyACM0,,,,,,
1762221567.0319185,/dev/ttyACM1,,,,,,
1762221567.2566304,/dev/ttyACM0,,,,,,
1762221567.2566304,/dev/ttyACM1,,,,,,
1762221567.520775,/dev/ttyACM0,,,,,,
1762221567.520775,/dev/ttyACM1,,,,,,
1762221567.8046753,/dev/ttyACM0,,,,,,
1762221567.8046753,/dev/ttyACM1,,,,,,
1762221568.0480893,/dev/ttyACM0,,,,,,
1762221568.0480893,/dev/ttyACM1,,,,,,
1762221568.2830317,/dev/ttyACM0,,,,,,
1762221568.2830317,/dev/ttyACM1,,,,,,
1762221568.5560782,/dev/ttyACM0,,,,,,
1762221568.5560782,/dev/ttyACM1,,,,,,
1762221568.7988248,/dev/ttyACM0,,,,,,
1762221568.7988248,/dev/ttyACM1,,,,,,
1762221569.0680377,/dev/ttyACM0,,,,,,
1762221569.0680377,/dev/ttyACM1,,,,,,
1762221569.3073864,/dev/ttyACM0,,,,,,
1762221569.3073864,/dev/ttyACM1,,,,,,
1762221569.547995,/dev/ttyACM0,,,,,,
1762221569.547995,/dev/ttyACM1,,,,,,
1762221569.80832,/dev/ttyACM0,,,,,,
1762221569.80832,/dev/ttyACM1,,,,,,
1762221570.1005108,/dev/ttyACM0,,,,,,
1762221570.1005108,/dev/ttyACM1,,,,,,
1762221570.3866904,/dev/ttyACM0,,,,,,
1762221570.3866904,/dev/ttyACM1,,,,,,
1762221570.9797544,/dev/ttyACM0,,,,,,
1762221570.9797544,/dev/ttyACM1,,,,,,
1762221571.6206498,/dev/ttyACM0,,,,,,
1762221571.6206498,/dev/ttyACM1,,,,,,
1762221572.3631368,/dev/ttyACM0,,,,,,
1762221572.3631368,/dev/ttyACM1,,,,,,
1762221572.72772,/dev/ttyACM0,,,,,,
1762221572.72772,/dev/ttyACM1,,,,,,
1762221572.9977963,/dev/ttyACM0,,,,,,
1762221572.9977963,/dev/ttyACM1,,,,,,
1762221573.2604835,/dev/ttyACM0,,,,,,
1762221573.2604835,/dev/ttyACM1,,,,,,
1762221573.6057885,/dev/ttyACM0,,,,,,
1762221573.6057885,/dev/ttyACM1,,,,,,
1762221573.859921,/dev/ttyACM0,,,,,,
1762221573.859921,/dev/ttyACM1,,,,,,
1762221574.5542784,/dev/ttyACM0,,,,,,
1762221574.5542784,/dev/ttyACM1,,,,,,
1762221575.7198775,/dev/ttyACM0,,,,,,
1762221575.7198775,/dev/ttyACM1,,,,,,
1762221576.0434513,/dev/ttyACM0,,,,,,
1762221576.0434513,/dev/ttyACM1,,,,,,
1762221576.486007,/dev/ttyACM0,,,,,,
1762221576.486007,/dev/ttyACM1,,,,,,
1762221576.8430822,/dev/ttyACM0,,,,,,
1762221576.8430822,/dev/ttyACM1,,,,,,
1762221577.0972307,/dev/ttyACM0,,,,,,
1762221577.0972307,/dev/ttyACM1,,,,,,
1762221577.4732814,/dev/ttyACM0,,,,,,
1762221577.4732814,/dev/ttyACM1,,,,,,
1762221577.714747,/dev/ttyACM0,,,,,,
1762221577.714747,/dev/ttyACM1,,,,,,
1762221577.9978335,/dev/ttyACM0,,,,,,
1762221577.9978335,/dev/ttyACM1,,,,,,
1762221578.287176,/dev/ttyACM0,,,,,,
1762221578.287176,/dev/ttyACM1,,,,,,
1762221578.631025,/dev/ttyACM0,,,,,,
1762221578.631025,/dev/ttyACM1,,,,,,
1762221579.375189,/dev/ttyACM0,,,,,,
1762221579.375189,/dev/ttyACM1,,,,,,
